State/County FIPS,State FIPS,County FIPS,County Name,State Name,Total,Margin of Error (+/-)
'01073','01','073',"Jefferson County",Alabama,7,13
'02185','02','185',"North Slope Borough",Alaska,0,31
'04005','04','005',"Coconino County",Arizona,19,31
'04013','04','013',"Maricopa County",Arizona,46,71
'05045','05','045',"Faulkner County",Arkansas,12,21
'06013','06','013',"Contra Costa County",California,0,31
'06037','06','037',"Los Angeles County",California,113,92
'06059','06','059',"Orange County",California,6,13
'06071','06','071',"San Bernardino County",California,0,31
'06073','06','073',"San Diego County",California,117,129
'06075','06','075',"San Francisco County",California,11,17
'06081','06','081',"San Mateo County",California,32,51
'06083','06','083',"Santa Barbara County",California,0,31
'06085','06','085',"Santa Clara County",California,0,31
'06089','06','089',"Shasta County",California,45,66
'06097','06','097',"Sonoma County",California,0,31
'06111','06','111',"Ventura County",California,0,31
'06113','06','113',"Yolo County",California,0,31
'08001','08','001',"Adams County",Colorado,0,31
'08005','08','005',"Arapahoe County",Colorado,26,43
'08013','08','013',"Boulder County",Colorado,13,20
'08031','08','031',"Denver County",Colorado,0,31
'08041','08','041',"El Paso County",Colorado,0,31
'08051','08','051',"Gunnison County",Colorado,0,31
'08059','08','059',"Jefferson County",Colorado,15,26
'08067','08','067',"La Plata County",Colorado,0,31
'08085','08','085',"Montrose County",Colorado,0,31
'08101','08','101',"Pueblo County",Colorado,0,31
'08105','08','105',"Rio Grande County",Colorado,26,36
'09001','09','001',"Fairfield County",Connecticut,379,305
'09003','09','003',"Hartford County",Connecticut,11,16
'09009','09','009',"New Haven County",Connecticut,30,29
'10003','10','003',"New Castle County",Delaware,41,67
'10005','10','005',"Sussex County",Delaware,0,31
'11001','11','001',"District of Columbia","District of Columbia",52,49
'12011','12','011',"Broward County",Florida,0,31
'12015','12','015',"Charlotte County",Florida,0,31
'12021','12','021',"Collier County",Florida,24,37
'12031','12','031',"Duval County",Florida,47,56
'12047','12','047',"Hamilton County",Florida,6,12
'12057','12','057',"Hillsborough County",Florida,30,39
'12069','12','069',"Lake County",Florida,0,31
'12071','12','071',"Lee County",Florida,59,103
'12095','12','095',"Orange County",Florida,44,66
'12097','12','097',"Osceola County",Florida,81,133
'12099','12','099',"Palm Beach County",Florida,0,31
'12103','12','103',"Pinellas County",Florida,0,31
'12105','12','105',"Polk County",Florida,38,64
'12111','12','111',"St. Lucie County",Florida,0,31
'12127','12','127',"Volusia County",Florida,38,48
'12129','12','129',"Wakulla County",Florida,31,70
'13021','13','021',"Bibb County",Georgia,9,20
'13057','13','057',"Cherokee County",Georgia,49,59
'13059','13','059',"Clarke County",Georgia,10,17
'13067','13','067',"Cobb County",Georgia,24,41
'13073','13','073',"Columbia County",Georgia,23,37
'13089','13','089',"DeKalb County",Georgia,0,31
'13113','13','113',"Fayette County",Georgia,17,27
'13117','13','117',"Forsyth County",Georgia,9,15
'13135','13','135',"Gwinnett County",Georgia,34,34
'13255','13','255',"Spalding County",Georgia,47,58
'13297','13','297',"Walton County",Georgia,87,135
'15001','15','001',"Hawaii County",Hawaii,0,31
'15003','15','003',"Honolulu County",Hawaii,6,10
'17007','17','007',"Boone County",Illinois,23,36
